SCMFA01F - Juízo Federal da 1ª VF de Mafra;36;32;25;43;54;439
SCMFA01S - Juízo Substituto da 1ª VF de Mafra;28;23;12;46;83;415
Total 14 - MAFRA 12/2017 e-ProcV2;64;55;37;89;137;854
15 - BRUSQUE
SCBQE01F - Juízo Federal da 1ª VF de Brusque;72;44;61;37;2;572
SCBQE01S - Juízo Substituto da 1ª VF de Brusque;62;57;58;30;28;543
Total 15 - BRUSQUE 12/2017 e-ProcV2;134;101;119;67;30;1115
16 - LAGUNA
SCLGA01F - Juízo Federal da 1ª VF de Laguna;74;33;57;14;45;806
SCLGA01S - Juízo Substituto da 1ª VF de Laguna;66;23;57;12;34;732
Total 16 - LAGUNA 12/2017 e-ProcV2;140;56;114;26;79;1538
19 - VIDEIRA - CAÇADOR
SCCACUI01F - Juízo Federal da 1ª Unidade de Apoio Itinerante em Caçador;0;5;7;0;15;126
SCCACUI01S - Juízo Substituto da 1ª Unidade de Apoio Itinerante em Caçador;0;4;5;0;10;118
SCCACUI02F - Juízo Federal da 2ª Unidade de Apoio Itinerante em Caçador;0;2;11;0;11;114
SCCACUI02S - Juízo Substituto da 2ª Unidade de Apoio Itinerante em Caçador;0;3;6;0;7;107
Total 19 - VIDEIRA - CAÇADOR 12/2017 e-ProcV2;0;14;29;0;43;465
Total 12/2017 e-ProcV2;4875;4929;4195;1499;4847;52645
01/2018
00 - FLORIANÓPOLIS
SCFLP02F - Juízo Federal da 2ª VF de Florianópolis;8;3;1;23;70;218
SCFLP02S - Juízo Substituto da 2ª VF de Florianópolis;18;11;8;56;55;219
SCFLP03F - Juízo Federal da 3ª VF de Florianópolis;14;19;16;58;41;234
SCFLP03S - Juízo Substituto da 3ª VF de Florianópolis;13;28;3;43;32;209
SCFLP04F - Juízo Federal da 4ª VF de Florianópolis;12;18;14;25;12;300
SCFLP04S - Juízo Substituto da 4ª VF de Florianópolis;11;14;13;54;43;329
SCFLP08F - Juízo Federal da 8ª VF de Florianópolis;86;151;126;4;126;748
SCFLP08S - Juízo Substituto da 8ª VF de Florianópolis;82;127;125;7;125;724
SCFLPCEMA - CENTRAL DE MANDADOS - FLORIANÓPOLIS;0;0;0;0;0;1
SCFLP05F - Juízo Federal da 5ª VF de Florianópolis;84;78;86;128;196;983
SCFLP05S - Juízo Substituto da 5ª VF de Florianópolis;98;76;76;140;145;970
SCFLPTR01A - Gab. Juiz Federal JULIO GUILHERME BEREZOSKI SCHATTSCHNEIDER (SC-1A);0;0;0;0;0;1
SCFLPCEJUA - JUÍZO A DO CEJUSCON DE FLORIANÓPOLIS;0;0;0;1;0;346
Total 00 - FLORIANÓPOLIS 01/2018 e-ProcV2;426;525;468;539;845;5282
01 - JOINVILLE
SCJOI04F - Juízo Federal da 4ª VF de Joinville;172;257;185;35;177;2029
SCJOI04S - Juízo Substituto da 4ª VF de Joinville;150;268;174;35;193;2132
SCJOI03F - Juízo Federal da 3ª VF de Joinville;171;210;132;41;10;1343
SCJOI03S - Juízo Substituto da 3ª VF de Joinville;168;203;108;63;26;1434
SCJOI06F - Juízo Federal da 6ª VF de Joinville;0;0;0;0;0;1
Total 01 - JOINVILLE 01/2018 e-ProcV2;661;938;599;174;406;6939
02 - CHAPECÓ
SCCHA01F - Juízo Federal da 1ª VF de Chapecó;2;16;11;20;4;119
SCCHA01S - Juízo Substituto da 1ª VF de Chapecó;5;15;5;22;9;119
SCCHA02F - Juízo Federal da 2ª VF de Chapecó;4;13;4;18;19;140
SCCHA02S - Juízo Substituto da 2ª VF de Chapecó;4;14;9;12;9;128
SCCHA03F - Juízo Federal da 3ª VF de Chapecó;154;168;136;12;62;1094
SCCHA03S - Juízo Substituto da 3ª VF de Chapecó;148;152;149;16;50;1089
SCCHACEMA - CENTRAL DE MANDADOS - CHAPECÓ;3;21;0;0;0;1
SCCHACEJUA - JUÍZO A DO CEJUSCON DE CHAPECÓ;0;0;55;0;0;56
Total 02 - CHAPECÓ 01/2018 e-ProcV2;320;399;369;100;153;2746
03 - JOAÇABA
SCJOA01F - Juízo Federal da 1ª VF de Joaçaba;95;153;21;132;34;1028
SCJOA01S - Juízo Substituto da 1ª VF de Joaçaba;77;161;26;139;35;1033
Total 03 - JOAÇABA 01/2018 e-ProcV2;172;314;47;271;69;2061
04 - CRICIÚMA
SCCRI02F - Juízo Federal da 2ª VF de Criciúma;85;125;30;1;96;685
SCCRI02S - Juízo Substituto da 2ª VF de Criciúma;78;119;55;1;62;723
